id,Code,Description,Brand,Price,ImageUrl,created_at
00bc5699-3394-43db-a2d7-270d45fe0f70,MB-5103,MORELLO CHERRY 340g,mrs.BRIDGES,5.95,https://gustoraro.gr/wp-content/uploads/2023/09/637793025103-300x300.jpg,2026-03-28 11:47:48.140172+00
0156258b-c9e5-4e24-b335-21dd39bc9080,MB-1365,SWEET ONION 230g,mrs.BRIDGES,4.45,https://gustoraro.gr/wp-content/uploads/2023/09/637793021365-300x300.jpg,2026-03-28 11:47:48.140172+00
02039797-f4e5-4a4b-aec7-a32aae6e8b8d,BO-5042,STRAWBERRY & CHOCOLATE 320g,BORGO DI MEDICI,5.40,https://borgodemedici.us/sites/default/files/styles/product_sm/public/img/products/img/bh2507.jpg?itok=fdSnGvfl,2026-03-28 11:47:48.140172+00
022de1d3-f6d9-4c3f-ace3-11023ac5c0b1,BO-8524,RAVIOLLI BLACK TRUFFLE 250g,BORGO DI MEDICI,3.90,https://gustoraro.gr/wp-content/uploads/2024/01/8032578558524-300x300.jpg,2026-03-28 11:47:48.140172+00
0283d7a4-12d7-4da9-a318-bebc7d6a997f,GM-3288,CHIPSY LIME & CHILLI 65G,GAM'S PROTEIN,0.00,https://cdn.cs.1worldsync.com/44/f2/44f29e69-18c5-4b02-938f-ae43a45de950.jpg,2026-04-01 11:59:39.650998+00
028a35e7-c6a8-4d4c-82db-0e11e192d1bf,RI-8475,DARK CHOCO AND ORANGE 120g,RISI,3.60,https://gustoraro.gr/wp-content/uploads/2025/02/Risi-8411859558475-300x300.png,2026-03-28 11:47:48.140172+00
02a3ed8f-1d5a-4497-951f-e08b60266bf6,BO-5653,FIG 330g,BORGO DI MEDICI,5.40,https://gustoraro.gr/wp-content/uploads/2025/09/8032578555653-300x300.jpg,2026-03-28 11:47:48.140172+00
031bbd3e-0cf4-4ccd-9301-9aacd4f3a4f7,ZU-4210,ΣΑΝΓΚΟΥΙΝΙ SF 200ml,ZUEGG,1.25,https://gustoraro.gr/wp-content/uploads/2024/03/8000340004210.jpg,2026-03-28 11:47:48.140172+00
035cad5b-7ebc-46cd-9099-2ca8439a744e,SM-3310,MIXED FRUITS 200g,SIMPKINS,2.90,https://gustoraro.gr/wp-content/uploads/2024/04/5011563623310-300x300.jpg,2026-03-28 11:47:48.140172+00
0370eb27-73ad-43ad-b601-08ab358cb2e8,FH-7575,TOASTED COCONUT 100g,FARMHOUSE,3.35,https://gustoraro.gr/wp-content/uploads/2024/03/5017162007575-300x300.jpg,2026-03-28 11:47:48.140172+00
038ca1f2-6b11-49da-bad8-b58d95b57772,GD-1499,SALAMI STYLE 120g,GUDOBELE,1.85,https://gustoraro.gr/wp-content/uploads/2024/01/4770350141499-300x300.jpg,2026-03-28 11:47:48.140172+00
03c9a58b-daa1-4d41-9982-933b79f9f034,GM-2571,DUBAI CHOCOLATE STYLE BAR PISTACHIO & COCONUT 60G,GAM'S PROTEIN,0.00,https://suplementosalmayor.cl/wp-content/uploads/2025/07/xDubai-style-Protein-bars-coconut-60g.png.pagespeed.ic_.uhb3eHdIrO-removebg-preview.webp,2026-04-01 11:46:41.730105+00
03ef1432-231e-4a33-81ee-cf79bf7b9e4c,MJ-4379,MILK WITH HAZELNUTS 115g,MAJANI,7.75,https://adultfoodnbeverage.com/cdn/shop/files/Majani1796MilkChocolateWithWholeHazelnuts115g.jpg?v=1746589361&width=416,2026-03-28 11:47:48.140172+00
